X,CaptureEventID,Date,Time  24 hour ,Month  1 Jan  ,Year,Species,Number Of Animals,Standing,Resting,Moving,Eating,Interacting,Babies,Camera Site,Longitude  m ,Latitude  m ,Habitat,Amount of Shade,Distance to River  m ,Distance to Confluence  m ,Distance to Kopje  m ,Tree Density Measure,Lion Risk  Wet ,Lion Risk  Dry ,Greeness  Wet ,Greeness  Dry ,Camera Mount,Season,SeasonalGreenness,Predator
14,ASG000000d,7/28/10,5:28:34 PM,7,2010,impala,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
15,ASG000000e,7/28/10,6:04:14 PM,7,2010,impala,1,1,0,0,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
16,ASG000000f,7/30/10,4:56:56 PM,7,2010,zebra,2,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
17,ASG000000m,7/30/10,5:29:28 PM,7,2010,zebra,2,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
18,ASG000000p,8/1/10,4:28:26 PM,8,2010,zebra,1,0,0,0,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
19,ASG000000t,8/4/10,8:43:14 AM,8,2010,elephant,8,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
20,ASG000000v,8/7/10,7:05:38 AM,8,2010,gazellethomsons,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
21,ASG000000w,8/7/10,8:07:30 PM,8,2010,hyenaspotted,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,predator
22,ASG000000x,8/7/10,8:52:18 PM,8,2010,zebra,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
23,ASG000000y,8/9/10,3:08:18 AM,8,2010,hyenaspotted,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,predator
24,ASG000000z,8/9/10,4:07:20 AM,8,2010,aardvark,1,0,0,0,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,other
25,ASG0000010,8/9/10,4:05:02 PM,8,2010,zebra,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
26,ASG0002kke,8/12/10,3:52:24 AM,8,2010,giraffe,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
27,ASG0002kkj,8/14/10,7:27:22 AM,8,2010,gazellethomsons,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
28,ASG0002kkm,8/17/10,10:10:02 PM,8,2010,gazellethomsons,1,1,0,0,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
29,ASG0002kkn,8/22/10,2:40:52 AM,8,2010,hyenaspotted,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,predator
30,ASG0002kko,8/23/10,10:20:36 AM,8,2010,mongoose,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,other
31,ASG0002kkq,8/24/10,3:22:40 AM,8,2010,giraffe,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
32,ASG0002kkx,8/27/10,4:53:54 AM,8,2010,giraffe,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
33,ASG0002kky,8/27/10,6:47:34 AM,8,2010,reedbuck,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
34,ASG0002kkz,8/28/10,7:06:44 AM,8,2010,gazellethomsons,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
35,ASG0002kl0,8/28/10,7:49:30 PM,8,2010,hyenaspotted,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,predator
36,ASG0002kl1,8/29/10,11:26:44 PM,8,2010,hyenaspotted,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,predator
37,ASG0002kl2,8/30/10,8:47:10 AM,8,2010,zebra,4,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
38,ASG0002kl3,9/1/10,4:45:06 AM,9,2010,gazellethomsons,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
39,ASG0002kl4,9/1/10,4:08:50 PM,9,2010,zebra,2,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
40,ASG0002kl6,9/2/10,1:31:22 PM,9,2010,elephant,2,0,0,1,0,0,1,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
41,ASG0002kl7,9/2/10,3:51:32 PM,9,2010,impala,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
42,ASG0002kl9,9/2/10,8:16:00 PM,9,2010,dikdik,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
43,ASG0002kla,9/3/10,4:41:18 PM,9,2010,impala,1,1,0,0,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
44,ASG0002klb,9/4/10,10:32:14 AM,9,2010,impala,2,1,0,0,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
45,ASG0002klc,9/4/10,11:54:36 AM,9,2010,elephant,2,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
46,ASG0002klg,9/7/10,9:12:18 AM,9,2010,gazellethomsons,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
47,ASG0002kli,9/9/10,8:40:12 AM,9,2010,gazellethomsons,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
48,ASG0002kln,9/10/10,4:39:52 PM,9,2010,gazellethomsons,1,0,0,0,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
49,ASG0002klp,9/11/10,7:16:12 AM,9,2010,gazellethomsons,2,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
50,ASG0002klq,9/11/10,7:59:30 AM,9,2010,gazellethomsons,4,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
51,ASG0002klu,9/11/10,6:50:52 PM,9,2010,gazellethomsons,1,1,0,0,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
52,ASG0002kly,9/12/10,11:42:08 AM,9,2010,giraffe,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
53,ASG0002klz,9/12/10,5:24:18 PM,9,2010,gazellethomsons,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
54,ASG0002km1,9/12/10,11:56:36 PM,9,2010,gazellethomsons,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
55,ASG0002km4,9/14/10,9:55:06 AM,9,2010,gazellethomsons,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
56,ASG0002kmb,9/15/10,7:51:28 AM,9,2010,zebra,2,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
57,ASG0002kmg,9/15/10,5:30:24 PM,9,2010,zebra,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
58,ASG0002kmj,9/16/10,12:36:48 AM,9,2010,gazellethomsons,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
59,ASG0002kmk,9/17/10,6:45:48 AM,9,2010,gazellethomsons,2,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
60,ASG0002kmp,9/17/10,9:39:12 PM,9,2010,gazellethomsons,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
61,ASG0002kmq,9/18/10,1:22:06 AM,9,2010,gazellethomsons,1,1,0,0,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
62,ASG0002kmr,9/18/10,6:06:26 AM,9,2010,gazellethomsons,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
63,ASG0002kmu,9/18/10,6:51:18 AM,9,2010,gazellethomsons,3,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
64,ASG0002kmw,9/18/10,7:24:30 AM,9,2010,gazellethomsons,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
65,ASG0002kmx,9/19/10,6:01:34 PM,9,2010,gazellethomsons,1,0,0,0,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
66,ASG0002kmy,9/20/10,12:04:34 AM,9,2010,giraffe,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
67,ASG0002kmz,9/20/10,4:13:16 AM,9,2010,giraffe,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
68,ASG0002kn0,9/20/10,7:21:16 PM,9,2010,buffalo,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
69,ASG0002kn2,9/21/10,8:17:42 AM,9,2010,zebra,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
70,ASG0002kn3,9/21/10,1:56:22 PM,9,2010,zebra,3,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
71,ASG0002kn6,9/22/10,11:44:28 PM,9,2010,hyenaspotted,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,predator
72,ASG0002kn7,9/23/10,7:27:38 AM,9,2010,hartebeest,1,0,0,0,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
73,ASG0002kn9,9/24/10,5:33:32 PM,9,2010,zebra,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
74,ASG0002kna,9/28/10,5:22:52 PM,9,2010,zebra,2,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
75,ASG0002knc,9/28/10,6:03:46 PM,9,2010,zebra,2,0,0,1,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
76,ASG0002knd,9/28/10,6:37:22 PM,9,2010,zebra,1,1,0,0,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
77,ASG0002kng,9/28/10,7:33:50 PM,9,2010,zebra,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
78,ASG0002knh,9/29/10,8:02:02 AM,9,2010,warthog,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
79,ASG0002kni,9/30/10,5:52:28 AM,9,2010,zebra,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
80,ASG0002knj,9/30/10,6:10:22 AM,9,2010,gazellethomsons,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
81,ASG0002knk,9/30/10,7:38:08 PM,9,2010,zebra,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
82,ASG0002knl,10/1/10,3:59:38 AM,10,2010,zebra,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
83,ASG0002kno,10/1/10,5:23:36 AM,10,2010,zebra,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
84,ASG0002knw,10/1/10,12:02:34 PM,10,2010,zebra,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
85,ASG0002ko1,10/1/10,1:54:06 PM,10,2010,zebra,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
86,ASG0002ko3,10/1/10,11:05:50 PM,10,2010,hyenaspotted,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,predator
87,ASG0002ko4,10/2/10,7:00:54 AM,10,2010,zebra,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
88,ASG0002ko5,10/3/10,6:09:10 AM,10,2010,zebra,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
89,ASG0002ko8,10/3/10,9:11:48 AM,10,2010,gazellegrants,5,1,0,1,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
90,ASG0002ko9,10/4/10,10:55:28 AM,10,2010,impala,1,1,0,0,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
91,ASG0002kob,10/4/10,1:32:40 PM,10,2010,gazellegrants,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
92,ASG0002koc,10/6/10,2:56:06 PM,10,2010,zebra,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
93,ASG0002kod,10/6/10,4:29:18 PM,10,2010,zebra,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
94,ASG0002kof,10/6/10,5:38:10 PM,10,2010,zebra,2,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
95,ASG0002kol,10/6/10,6:20:48 PM,10,2010,zebra,2,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
96,ASG0002koo,10/9/10,7:25:48 AM,10,2010,guineafowl,5,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,other
97,ASG0002kop,10/10/10,12:18:46 AM,10,2010,gazellegrants,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
98,ASG0002koq,10/11/10,12:28:06 PM,10,2010,warthog,1,0,0,0,1,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
99,ASG0002kor,10/11/10,12:49:12 PM,10,2010,zebra,1,0,0,1,0,0,0,B05,694892,9727162,Open Woodland/Shrubs,1.5,1013.889717,699.7965626,5742.552009,5,0.0005352,0.000582477,6215.944444,3936.333333,Tree,Dry,3936.333333,prey
